id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
19,@poopi6055,"pero que ideia tienes, genio?",Ugzcg3NbUIKCHuZuPCl4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugzcg3NbUIKCHuZuPCl4AaABAg,19-03-2024 09:51,0,"pero que ideia tienes, genio?",http://www.youtube.com/@poopi6055
20,@poopi6055,lo se lo se...,UgwZKFpiYPOZK82O6pp4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwZKFpiYPOZK82O6pp4AaABAg,19-03-2024 09:51,0,lo se lo se...,http://www.youtube.com/@poopi6055
21,@poopi6055,"sumo, necessitaamos escapar!",UgzIbdYuQnnCDaMH-eJ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzIbdYuQnnCDaMH-eJ4AaABAg,19-03-2024 09:51,0,"sumo, necessitaamos escapar!",http://www.youtube.com/@poopi6055
22,@poopi6055,despues...,Ugx5KzxvFyV3pne6AIN4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugx5KzxvFyV3pne6AIN4AaABAg,19-03-2024 09:50,0,despues...,http://www.youtube.com/@poopi6055
23,@poopi6055,no tan rapido...,UgxDt3PLnR0Pf0rhqkl4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxDt3PLnR0Pf0rhqkl4AaABAg,19-03-2024 09:50,0,no tan rapido...,http://www.youtube.com/@poopi6055
24,@poopi6055,clarencio!!!,UgwlAQPGDsS9PeFA9i94AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwlAQPGDsS9PeFA9i94AaABAg,19-03-2024 09:50,0,clarencio!!!,http://www.youtube.com/@poopi6055
25,@poopi6055,muchachos? estan aí?,UgyAjEf0a5uM9DwfTFZ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyAjEf0a5uM9DwfTFZ4AaABAg,19-03-2024 09:50,0,muchachos? estan aí?,http://www.youtube.com/@poopi6055
26,@poopi6055,"yea yea callate nerd,😎",UgzqVXWMHJ3bamRnYvJ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzqVXWMHJ3bamRnYvJ4AaABAg,19-03-2024 09:49,0,"yea yea callate nerd,😎",http://www.youtube.com/@poopi6055
27,@BelleBerner,I LOVE TAYLOR SWIFT!,UgyeWDkTuxYnJYasBjZ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyeWDkTuxYnJYasBjZ4AaABAg,19-03-2024 09:49,0,I LOVE TAYLOR SWIFT!,http://www.youtube.com/@BelleBerner
28,@poopi6055,sumô no és cierto entrar en la casa de...,UgxYjbeOtYaqzG3ncu14AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxYjbeOtYaqzG3ncu14AaABAg,19-03-2024 09:49,0,sumô no és cierto entrar en la casa de...,http://www.youtube.com/@poopi6055
29,@poopi6055,SUMO!,UgxPADejPl_nsjxjq3t4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxPADejPl_nsjxjq3t4AaABAg,19-03-2024 09:49,0,SUMO!,http://www.youtube.com/@poopi6055
30,@poopi6055,CLARENCIO LO SE QUE ESTÁS AÍ!😡,UgyNttuy6tYVdot_pPl4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyNttuy6tYVdot_pPl4AaABAg,19-03-2024 09:49,0,CLARENCIO LO SE QUE ESTÁS AÍ!😡,http://www.youtube.com/@poopi6055
31,@poopi6055,CLARENCIO?,Ugyk00ljqOdbR9Ds9vN4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugyk00ljqOdbR9Ds9vN4AaABAg,19-03-2024 09:48,0,CLARENCIO?,http://www.youtube.com/@poopi6055
32,@poopi6055,hey,UgxgQgMNUGTNwKBVQcF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxgQgMNUGTNwKBVQcF4AaABAg,19-03-2024 09:48,0,hey,http://www.youtube.com/@poopi6055
33,@poopi6055,hola Clarencio viemos visitar-lo,UgyLiK_Pky2N3ycDrO54AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyLiK_Pky2N3ycDrO54AaABAg,19-03-2024 09:48,0,hola Clarencio viemos visitar-lo,http://www.youtube.com/@poopi6055
34,@poopi6055,en el dia seguinte,Ugzr855GPrvi2mB0LGF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugzr855GPrvi2mB0LGF4AaABAg,19-03-2024 09:48,0,en el dia seguinte,http://www.youtube.com/@poopi6055
35,@tangledguy,Me,UgyD2dHE7nWRW_RCjIV4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyD2dHE7nWRW_RCjIV4AaABAg,19-03-2024 09:48,0,Me,http://www.youtube.com/@tangledguy
36,@poopi6055,NOOOOOOOOOOOO........,UgymyCyOH7koxugU0Gh4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgymyCyOH7koxugU0Gh4AaABAg,19-03-2024 09:48,0,NOOOOOOOOOOOO........,http://www.youtube.com/@poopi6055
37,@poopi6055,que se pasa en mi pansa? sinto-me estraño...,Ugw7pLNky9-itwyLazl4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugw7pLNky9-itwyLazl4AaABAg,19-03-2024 09:48,0,que se pasa en mi pansa? sinto-me estraño...,http://www.youtube.com/@poopi6055
38,@poopi6055,*ja estava no quarto dele*,UgyoPU930uW4En6lyG14AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyoPU930uW4En6lyG14AaABAg,19-03-2024 09:47,0,*ja estava no quarto dele*,http://www.youtube.com/@poopi6055
39,@poopi6055,*desmaio*,UgyTNd8Q8M93JrefAQd4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyTNd8Q8M93JrefAQd4AaABAg,19-03-2024 09:47,0,*desmaio*,http://www.youtube.com/@poopi6055
40,@poopi6055,😐,UgxfpvEnHk75YLXA6ol4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxfpvEnHk75YLXA6ol4AaABAg,19-03-2024 09:47,0,😐,http://www.youtube.com/@poopi6055
41,@poopi6055,500 ovos depois,Ugy1b_va6RngVYi2wSF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugy1b_va6RngVYi2wSF4AaABAg,19-03-2024 09:47,0,500 ovos depois,http://www.youtube.com/@poopi6055
42,@poopi6055,🤤🤭😋🥚🥚🥚🥚🥚🥚🥚,UgxMXioH82RSZuvbbfh4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxMXioH82RSZuvbbfh4AaABAg,19-03-2024 09:47,0,🤤🤭😋🥚🥚🥚🥚🥚🥚🥚,http://www.youtube.com/@poopi6055
43,@poopi6055,capa,Ugx6EdRwOUGj7iu2xoV4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugx6EdRwOUGj7iu2xoV4AaABAg,19-03-2024 09:46,0,capa,http://www.youtube.com/@poopi6055
44,@JordanMonforte,Omg 3B views,UgybaxfRkTmOpGEQ7zh4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgybaxfRkTmOpGEQ7zh4AaABAg,19-03-2024 08:43,0,Omg 3B views,http://www.youtube.com/@JordanMonforte
45,@pawannyaupane9750,I am here from Nepal ❤,UgxUWb_BIvPtgvYzDld4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxUWb_BIvPtgvYzDld4AaABAg,19-03-2024 08:41,0,I am here from Nepal ❤,http://www.youtube.com/@pawannyaupane9750
46,@fabiennegafanesch1985,J’adore ❤,UgxW5iEQ3Ay2J7ycVIh4AaABAg,,1,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxW5iEQ3Ay2J7ycVIh4AaABAg,19-03-2024 08:32,0,J’adore ❤,http://www.youtube.com/@fabiennegafanesch1985
47,@Cheapmanent,“Phil swift here with flex tape!”,Ugx15bHrjkQH8U2OeiR4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugx15bHrjkQH8U2OeiR4AaABAg,19-03-2024 08:31,0,“Phil swift here with flex tape!”,http://www.youtube.com/@Cheapmanent
48,@user-ts1ob7gb9r,Omg this is the best song you have ever made and you are the best singer in the world,UgzqOiYwKMYCiN0r9at4AaABAg,,1,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzqOiYwKMYCiN0r9at4AaABAg,19-03-2024 08:05,0,Omg this is the best song you have ever made and you are the best singer in the world,http://www.youtube.com/@user-ts1ob7gb9r
49,@leftianologout6953,Who’s watching this in 2025!?,Ugzqa_9Rt6fkxdh2-Hp4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugzqa_9Rt6fkxdh2-Hp4AaABAg,19-03-2024 07:32,0,Who’s watching this in 2025!?,http://www.youtube.com/@leftianologout6953
50,@user-fb8hr7rf9f,2024🎉,UgwVyQP_jl6RcHjPDRF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwVyQP_jl6RcHjPDRF4AaABAg,19-03-2024 06:42,0,2024🎉,http://www.youtube.com/@user-fb8hr7rf9f
51,@zanxnineninenine999,Taylor swift mogged 💀,UgxuAQZpGYIJiQD1llt4AaABAg,,1,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxuAQZpGYIJiQD1llt4AaABAg,19-03-2024 05:40,0,Taylor swift mogged 💀,http://www.youtube.com/@zanxnineninenine999
52,@user-uq3og5is5s,Anyone 2024 ?,Ugzq0x6e7MnZncbwrht4AaABAg,,4,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugzq0x6e7MnZncbwrht4AaABAg,19-03-2024 05:09,1,Anyone 2024 ?,http://www.youtube.com/@user-uq3og5is5s
53,@nilimabiswas5399,Yes❤,Ugzq0x6e7MnZncbwrht4AaABAg.A19gFbN_EAqA19lNOAd--Q,@user-uq3og5is5s,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugzq0x6e7MnZncbwrht4AaABAg.A19gFbN_EAqA19lNOAd--Q,19-03-2024 05:54,0,Yes❤,http://www.youtube.com/@nilimabiswas5399
54,@andyjenkinson5070,"I was confused by what I heard as ""Don\'t say I didn\'t say I didn\'t warn ya"" which is an inexplicable double negative. Then I spotted the comma which changes the meaning to ""Dont say I didn\'t BUT say I didn\'t warn ya"". Was anyone else confused by this?",UgygAH7j_k19q5HI64h4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgygAH7j_k19q5HI64h4AaABAg,19-03-2024 04:18,0,"I was confused by what I heard as ""Don\'t say I didn\'t say I didn\'t warn ya"" which is an inexplicable double negative. Then I spotted the comma which changes the meaning to ""Dont say I didn\'t BUT say I didn\'t warn ya"". Was anyone else confused by this?",http://www.youtube.com/@andyjenkinson5070
55,@divyanshu1285,Sean opry,UgxgZrrahddeKE-dSvZ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxgZrrahddeKE-dSvZ4AaABAg,19-03-2024 03:21,0,Sean opry,http://www.youtube.com/@divyanshu1285
56,@rxse_Frenxh,LOVE IT,Ugy3iLxMVVAzqVXh1Ll4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugy3iLxMVVAzqVXh1Ll4AaABAg,19-03-2024 03:12,0,LOVE IT,http://www.youtube.com/@rxse_Frenxh
57,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,UgxP7UvVJwsXXBkIp_94AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxP7UvVJwsXXBkIp_94AaABAg,19-03-2024 02:47,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
58,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,UgxLRn6dNc9KnAZjjM54AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxLRn6dNc9KnAZjjM54AaABAg,19-03-2024 02:47,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
59,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,UgzymBBVX648GL-2o_h4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzymBBVX648GL-2o_h4AaABAg,19-03-2024 02:47,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
60,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,UgyalHe2J7DVeeBUyZF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgyalHe2J7DVeeBUyZF4AaABAg,19-03-2024 02:47,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
61,@user-ym8jo7gt2d,I got black space,UgxxJmVkmEygo7X9X594AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxxJmVkmEygo7X9X594AaABAg,19-03-2024 02:47,0,I got black space,http://www.youtube.com/@user-ym8jo7gt2d
62,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,Ugw1dB83i7SeMePO4154AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugw1dB83i7SeMePO4154AaABAg,19-03-2024 02:47,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
63,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,Ugw64pICK-X6q8qYhd14AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugw64pICK-X6q8qYhd14AaABAg,19-03-2024 02:46,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
64,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,UgxnVwIceDG_O5basCp4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgxnVwIceDG_O5basCp4AaABAg,19-03-2024 02:46,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
65,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,UgzLxU2tXyU0tLCGvWJ4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzLxU2tXyU0tLCGvWJ4AaABAg,19-03-2024 02:46,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
66,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,UgzNdy6Fnv0UJK7RtIF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgzNdy6Fnv0UJK7RtIF4AaABAg,19-03-2024 02:45,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
67,@cheickdiabate8335,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,Ugx1wkvyyzVWj9tgkz54AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugx1wkvyyzVWj9tgkz54AaABAg,19-03-2024 02:45,0,Chucky the king of the jungle susbscribe🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
68,@cheickdiabate8335,Chucky the king of the jungle susbscribe🌹🙏🇺🇲🇨🇮🦁💵,Ugw_Vg91w3HI8kV2eRp4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=Ugw_Vg91w3HI8kV2eRp4AaABAg,19-03-2024 02:45,0,Chucky the king of the jungle susbscribe🌹🙏🇺🇲🇨🇮🦁💵,http://www.youtube.com/@cheickdiabate8335
69,@dabian2284,fraca,UgwHophyPmFnfIcr1IV4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwHophyPmFnfIcr1IV4AaABAg,19-03-2024 02:41,0,fraca,http://www.youtube.com/@dabian2284
70,@annabelle7123,"That guy looks so immaculate, his hair never even swifts when moving! And Taylor\'s acting is so on point here!!! Enjoying this video more than ever. Btw, she looks perfect and beautiful but so skinny... I\'d say she looks healthier and happier now!",UgwgxA4IfkFdSfBrimF4AaABAg,,0,https://www.youtube.com/watch?v=e-ORhEE9VVg&lc=UgwgxA4IfkFdSfBrimF4AaABAg,19-03-2024 02:07,0,"That guy looks so immaculate, his hair never even swifts when moving! And Taylor\'s acting is so on point here!!! Enjoying this video more than ever. Btw, she looks perfect and beautiful but so skinny... I\'d say she looks healthier and happier now!",http://www.youtube.com/@annabelle7123
